Category,Units Sold,Market Share (%)
Total EV Sales,2022873,100.0
Electric 2-Wheelers,1211193,59.9
E-Rickshaws,481438,23.8
Electric 3-Wheelers,123596,6.1
Electric 4-Wheelers,105189,5.2
Others,101457,5.0
